defense,param_value,trial,rmse,success
round,19,5,3.616628264005025,0.52
round,19,6,3.4749100707788108,0.53
round,19,7,3.4080786375903944,0.5
round,19,8,3.641428291206625,0.52
round,19,9,3.4445609299299673,0.57
round,20,0,3.5860842154082215,0.6
round,20,1,3.8820097887563345,0.59
round,20,2,3.900640972968417,0.59
round,20,3,3.6606010435446255,0.61
round,20,4,3.789459064299283,0.62
round,20,5,4.018084120572888,0.56
round,20,6,3.886515148561755,0.53
round,20,7,3.9115214431215892,0.51
round,20,8,3.97994974842648,0.65
round,20,9,3.86846222677694,0.55
round,21,0,4.495553358597805,0.65
round,21,1,4.2302482196674935,0.51
round,21,2,4.18568990729127,0.59
round,21,3,4.644889664997437,0.63
round,21,4,4.6946778377222005,0.49
round,21,5,4.697339672623218,0.6
round,21,6,4.689349635077342,0.61
round,21,7,4.5265881191025095,0.57
round,21,8,4.701063709417263,0.51
round,21,9,4.553570028010989,0.58
round,22,0,5.36423340282654,0.63
round,22,1,5.435531252784773,0.6
round,22,2,5.528562200066125,0.58
round,22,3,5.425403210822215,0.52
round,22,4,5.411561696959575,0.63
round,22,5,5.539855593785816,0.71
round,22,6,5.239274758971894,0.64
round,22,7,5.378661543544081,0.6
round,22,8,5.649778756730214,0.65
round,22,9,5.74108003776293,0.71
round,23,0,6.014981296729027,0.65
round,23,1,6.024533176935787,0.63
round,23,2,6.3498031465550175,0.62
round,23,3,6.135552134893811,0.64
round,23,4,6.023288138550239,0.72
round,23,5,6.371028174478591,0.67
round,23,6,6.427285585688566,0.65
round,23,7,6.14288205975013,0.62
round,23,8,6.143695956018656,0.63
round,23,9,5.869412236331676,0.54
round,24,0,6.822023160324216,0.63
round,24,1,7.489659538323488,0.62
round,24,2,7.084842976382751,0.67
round,24,3,6.8212902005412435,0.66
round,24,4,6.907966415668217,0.61
round,24,5,6.8705894943592725,0.61
round,24,6,7.133722730804723,0.63
round,24,7,6.827151675479314,0.68
round,24,8,6.629856710367125,0.54
round,24,9,6.899275324264136,0.69
round,25,0,7.7479029420869745,0.7
round,25,1,7.854298186343577,0.63
round,25,2,8.021845174272562,0.63
round,25,3,7.9821676254010105,0.67
round,25,4,7.938198788138276,0.68
round,25,5,7.778495998584817,0.68
round,25,6,7.436396977031283,0.64
round,25,7,7.825918476447349,0.69
round,25,8,8.181686867633104,0.66
round,25,9,7.819207120929845,0.65
round,26,0,8.627861844049196,0.72
round,26,1,8.770689824637513,0.7
round,26,2,8.636839699797607,0.71
round,26,3,8.440675328431961,0.66
round,26,4,8.583122974768566,0.63
round,26,5,8.750999942863672,0.72
round,26,6,8.980256121069154,0.7
round,26,7,8.915716460273957,0.78
round,26,8,8.50617422817097,0.69
round,26,9,8.791473141629906,0.77
round,27,0,9.817331613019904,0.74
round,27,1,9.628083921528727,0.68
round,27,2,9.678584607265671,0.76
round,27,3,9.752179243635753,0.79
round,27,4,9.416209428427132,0.67
round,27,5,9.780848633937651,0.74
round,27,6,9.608069525143955,0.72
round,27,7,9.691491113342673,0.75
round,27,8,9.686846752168632,0.63
round,27,9,9.463878697447468,0.75
round,28,0,10.279591431569642,0.7
round,28,1,10.36894401566524,0.77
round,28,2,10.529719844326344,0.73
round,28,3,10.593158169309094,0.77
round,28,4,10.26547612144707,0.71
round,28,5,10.4544249004907,0.76
round,28,6,10.36677384724872,0.78
round,28,7,10.741042779916668,0.69
round,28,8,10.701635389042181,0.82
round,28,9,10.361225796207705,0.72
round,29,0,11.229870880824944,0.73
round,29,1,11.18279929176948,0.85
round,29,2,11.137549102024197,0.72
round,29,3,11.289596981292114,0.73
round,29,4,11.113505297609752,0.82
round,29,5,11.185928660598547,0.64
round,29,6,11.062549434917793,0.75
round,29,7,11.345042970390196,0.79
round,29,8,11.404823540940912,0.7
round,29,9,10.950799057603056,0.74
round,30,0,12.326191625964608,0.73
round,30,1,12.007081243999309,0.76
round,30,2,12.018111332484818,0.8
round,30,3,11.853480501523592,0.76
round,30,4,11.893485611880145,0.77
round,30,5,11.873078791956196,0.71
round,30,6,12.238463955905578,0.77
round,30,7,12.339165287814245,0.76
round,30,8,12.147839314050874,0.75
round,30,9,11.871604777788047,0.83
round,31,0,12.637642185154634,0.8
round,31,1,12.811323116680805,0.84
round,31,2,12.68857754044952,0.73
round,31,3,12.804491399505098,0.74
round,31,4,12.83374458215528,0.81
round,31,5,12.724778976469493,0.75
round,31,6,12.70610089681331,0.84
round,31,7,12.723207142855138,0.86
round,31,8,12.577161842005532,0.76
round,31,9,12.693108366353767,0.84
round,32,0,13.564107047646004,0.75
round,32,1,13.583629853614239,0.77
round,32,2,13.482395929507485,0.83
round,32,3,13.366562759363381,0.77
round,32,4,13.609004372105993,0.76
round,32,5,13.432237341560043,0.85
round,32,6,13.369180977157876,0.81
round,32,7,13.331729070154404,0.85
round,32,8,13.449349426645142,0.86
