defense,param_value,trial,rmse,success
noise,12,8,12.429910347982712,0.62
noise,12,9,12.45210875136041,0.59
noise,13,0,11.588081114199035,0.57
noise,13,1,13.699840514068894,0.57
noise,13,2,12.342924569160736,0.65
noise,13,3,12.732140386327693,0.65
noise,13,4,13.028831790400147,0.49
noise,13,5,13.306349303397315,0.57
noise,13,6,12.998710662692439,0.65
noise,13,7,13.438213776336667,0.51
noise,13,8,12.944084328909689,0.6
noise,13,9,13.069543808227943,0.67
noise,14,0,13.877317260049105,0.62
noise,14,1,13.08994173072131,0.6
noise,14,2,13.3322084103216,0.64
noise,14,3,13.729552057246366,0.57
noise,14,4,15.336853741138501,0.6
noise,14,5,13.717385278190223,0.56
noise,14,6,13.408105446008888,0.61
noise,14,7,12.49167664761501,0.56
noise,14,8,14.58405023103048,0.61
noise,14,9,12.98591944404551,0.55
noise,15,0,14.43841655817847,0.59
noise,15,1,15.031892404976912,0.57
noise,15,2,15.997568774011198,0.55
noise,15,3,14.624006709357793,0.6
noise,15,4,15.189493416283629,0.55
noise,15,5,15.181963825910316,0.59
noise,15,6,13.907622983063439,0.63
noise,15,7,16.02732956120821,0.6
noise,15,8,16.074223689046534,0.64
noise,15,9,15.496015275104405,0.55
noise,16,0,15.510606451562374,0.55
noise,16,1,17.217800000297036,0.55
noise,16,2,15.158887997980742,0.65
noise,16,3,15.93550108725829,0.51
noise,16,4,15.432474056368763,0.55
noise,16,5,15.428527632583,0.6
noise,16,6,15.158507944412058,0.57
noise,16,7,15.020760856057356,0.56
noise,16,8,16.489937761657515,0.59
noise,16,9,15.845549307783777,0.55
noise,17,0,18.291027450599795,0.62
noise,17,1,18.142257396930436,0.68
noise,17,2,17.118640159337346,0.53
noise,17,3,16.347287242682803,0.53
noise,17,4,16.470866376281315,0.56
noise,17,5,16.89469850076017,0.6
noise,17,6,16.485001286959374,0.65
noise,17,7,16.120598980937245,0.49
noise,17,8,18.157630453148133,0.57
noise,17,9,17.05680556319727,0.64
noise,18,0,18.803578398759733,0.55
noise,18,1,18.30687864546783,0.57
noise,18,2,18.45933516851045,0.47
noise,18,3,18.005432912311587,0.55
noise,18,4,18.645599791265344,0.63
noise,18,5,19.158527777345444,0.62
noise,18,6,16.53352162369736,0.7
noise,18,7,17.095229615259615,0.57
noise,18,8,17.92392474469387,0.47
noise,18,9,18.828332072170202,0.61
noise,19,0,20.256477656417204,0.6
noise,19,1,19.47875648714893,0.47
noise,19,2,20.060800692614382,0.47
noise,19,3,18.108962792245332,0.59
noise,19,4,19.045845486378532,0.59
noise,19,5,18.94295881439121,0.57
noise,19,6,20.21685979896988,0.54
noise,19,7,19.546456177783277,0.55
noise,19,8,20.945690427476947,0.55
noise,19,9,19.482613224781204,0.53
noise,20,0,20.53664457268425,0.53
noise,20,1,18.911188060530037,0.5
noise,20,2,19.891340889772557,0.52
noise,20,3,22.272277241517585,0.61
noise,20,4,19.433608092549576,0.53
noise,20,5,22.16013950706289,0.55
noise,20,6,19.96538716936952,0.46
noise,20,7,20.286438059415964,0.61
noise,20,8,18.99914847126946,0.58
noise,20,9,20.779815578685255,0.57
noise,21,0,21.511889644598895,0.55
noise,21,1,20.09796083355685,0.53
noise,21,2,21.727500178171113,0.51
noise,21,3,21.997815644235494,0.57
noise,21,4,19.48913570606206,0.61
noise,21,5,19.677384378141877,0.59
noise,21,6,21.32302661944302,0.5
noise,21,7,21.37788963904657,0.53
noise,21,8,21.81249465516872,0.6
noise,21,9,20.722815460031704,0.58
noise,22,0,22.981916007027102,0.58
noise,22,1,23.176370800058308,0.48
noise,22,2,22.571181613578688,0.56
noise,22,3,22.231882817897446,0.67
noise,22,4,21.804605235675734,0.55
noise,22,5,22.672033983980167,0.54
noise,22,6,21.2306041491646,0.56
noise,22,7,21.64136882730911,0.49
noise,22,8,23.68882746763091,0.67
noise,22,9,22.745332772277642,0.62
noise,23,0,22.48907526881446,0.6
noise,23,1,23.844185804468847,0.55
noise,23,2,21.927746471557217,0.48
noise,23,3,24.241699304788586,0.58
noise,23,4,21.590803940097842,0.58
